CustomerId,FirstName,LastName,Address,City,Country,PostalCode,Email,SupportRepId
1,Luís,Gonçalves,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,Brazil,12227-000,luisg@embraer.com.br,3
2,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,Germany,70174,leonekohler@surfeu.de,5
3,François,Tremblay,1498 rue Bélanger,Montréal,Canada,H2G 1A7,ftremblay@gmail.com,3
4,Bjørn,Hansen,Ullevålsveien 14,Oslo,Norway,171,bjorn.hansen@yahoo.no,4
5,František,Wichterlová,Klanova 9/506,Prague,Czech Republic,14700,frantisekw@jetbrains.com,4
6,Helena,Holý,Rilská 3174/6,Prague,Czech Republic,14300,hholy@gmail.com,5
7,Astrid,Gruber,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,Austria,1010,astrid.gruber@apple.at,5
8,Daan,Peeters,Grétrystraat 63,Brussels,Belgium,1000,daan_peeters@apple.be,4
9,Kara,Nielsen,Sønder Boulevard 51,Copenhagen,Denmark,1720,kara.nielsen@jubii.dk,4
10,Eduardo,Martins,"Rua Dr. Falcão Filho, 155",São Paulo,Brazil,01007-010,eduardo@woodstock.com.br,4
11,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,Brazil,01310-200,alero@uol.com.br,5
12,Roberto,Almeida,"Praça Pio X, 119",Rio de Janeiro,Brazil,20040-020,roberto.almeida@riotur.gov.br,3
13,Fernanda,Ramos,Qe 7 Bloco G,Brasília,Brazil,71020-677,fernadaramos4@uol.com.br,4
14,Mark,Philips,8210 111 ST NW,Edmonton,Canada,T6G 2C7,mphilips12@shaw.ca,5
15,Jennifer,Peterson,700 W Pender Street,Vancouver,Canada,V6C 1G8,jenniferp@rogers.ca,3
16,Frank,Harris,1600 Amphitheatre Parkway,Mountain View,USA,94043-1351,fharris@google.com,4
17,Jack,Smith,1 Microsoft Way,Redmond,USA,98052-8300,jacksmith@microsoft.com,5
18,Michelle,Brooks,627 Broadway,New York,USA,10012-2612,michelleb@aol.com,3
19,Tim,Goyer,1 Infinite Loop,Cupertino,USA,95014,tgoyer@apple.com,3
20,Dan,Miller,541 Del Medio Avenue,Mountain View,USA,94040-111,dmiller@comcast.com,4
21,Kathy,Chase,801 W 4th Street,Reno,USA,89503,kachase@hotmail.com,5
22,Heather,Leacock,120 S Orange Ave,Orlando,USA,32801,hleacock@gmail.com,4
23,John,Gordon,69 Salem Street,Boston,USA,2113,johngordon22@yahoo.com,4
24,Frank,Ralston,162 E Superior Street,Chicago,USA,60611,fralston@gmail.com,3
25,Victor,Stevens,319 N. Frances Street,Madison,USA,53703,vstevens@yahoo.com,5
26,Richard,Cunningham,2211 W Berry Street,Fort Worth,USA,76110,ricunningham@hotmail.com,4
27,Patrick,Gray,1033 N Park Ave,Tucson,USA,85719,patrick.gray@aol.com,4
28,Julia,Barnett,302 S 700 E,Salt Lake City,USA,84102,jubarnett@gmail.com,5
29,Robert,Brown,796 Dundas Street West,Toronto,Canada,M6J 1V1,robbrown@shaw.ca,3
30,Edward,Francis,230 Elgin Street,Ottawa,Canada,K2P 1L7,edfrancis@yachoo.ca,3
31,Martha,Silk,194A Chain Lake Drive,Halifax,Canada,B3S 1C5,marthasilk@gmail.com,5
32,Aaron,Mitchell,696 Osborne Street,Winnipeg,Canada,R3L 2B9,aaronmitchell@yahoo.ca,4
33,Ellie,Sullivan,5112 48 Street,Yellowknife,Canada,X1A 1N6,ellie.sullivan@shaw.ca,3
34,João,Fernandes,Rua da Assunção 53,Lisbon,Portugal,,jfernandes@yahoo.pt,4
35,Madalena,Sampaio,"Rua dos Campeões Europeus de Viena, 4350",Porto,Portugal,,masampaio@sapo.pt,4
36,Hannah,Schneider,Tauentzienstraße 8,Berlin,Germany,10789,hannah.schneider@yahoo.de,5
37,Fynn,Zimmermann,Berger Straße 10,Frankfurt,Germany,60316,fzimmermann@yahoo.de,3
38,Niklas,Schröder,Barbarossastraße 19,Berlin,Germany,10779,nschroder@surfeu.de,3
39,Camille,Bernard,"4, Rue Milton",Paris,France,75009,camille.bernard@yahoo.fr,4
40,Dominique,Lefebvre,"8, Rue Hanovre",Paris,France,75002,dominiquelefebvre@gmail.com,4
41,Marc,Dubois,"11, Place Bellecour",Lyon,France,69002,marc.dubois@hotmail.com,5
42,Wyatt,Girard,"9, Place Louis Barthou",Bordeaux,France,33000,wyatt.girard@yahoo.fr,3
43,Isabelle,Mercier,"68, Rue Jouvence",Dijon,France,21000,isabelle_mercier@apple.fr,3
44,Terhi,Hämäläinen,Porthaninkatu 9,Helsinki,Finland,530,terhi.hamalainen@apple.fi,3
45,Ladislav,Kovács,Erzsébet krt. 58.,Budapest,Hungary,H-1073,ladislav_kovacs@apple.hu,3
46,Hugh,O'Reilly,3 Chatham Street,Dublin,Ireland,,hughoreilly@apple.ie,3
47,Lucas,Mancini,"Via Degli Scipioni, 43",Rome,Italy,192,lucas.mancini@yahoo.it,5
48,Johannes,Van der Berg,Lijnbaansgracht 120bg,Amsterdam,Netherlands,1016,johavanderberg@yahoo.nl,5
49,Stanisław,Wójcik,Ordynacka 10,Warsaw,Poland,00-358,stanisław.wójcik@wp.pl,4
50,Enrique,Muñoz,C/ San Bernardo 85,Madrid,Spain,28015,enrique_munoz@yahoo.es,5
51,Joakim,Johansson,Celsiusg. 9,Stockholm,Sweden,11230,joakim.johansson@yahoo.se,5
52,Emma,Jones,202 Hoxton Street,London,United Kingdom,N1 5LH,emma_jones@hotmail.com,3
53,Phil,Hughes,113 Lupus St,London,United Kingdom,SW1V 3EN,phil.hughes@gmail.com,3
54,Steve,Murray,110 Raeburn Pl,Edinburgh ,United Kingdom,EH4 1HH,steve.murray@yahoo.uk,5
